name,type,start_time,duration,"mosi","miso"
"SPI SO","result",0.838951417,0.000915666667,0x00,0xBD
"SPI SI","result",0.838951417,0.000915666667,0x12,0x00
"SPI SO","result",0.84032025,0.000915583333,0x00,0xC1
"SPI SI","result",0.84032025,0.000915583333,0x5E,0x00
"SPI SO","result",1.86890867,0.000915666667,0x00,0x80
"SPI SI","result",1.86890867,0.000915666667,0x00,0x00
"SPI SO","result",1.87028054,0.000915625,0x00,0x40
"SPI SI","result",1.87028054,0.000915625,0x00,0x00
"SPI SO","result",1.87171679,0.000915625,0x00,0x00
"SPI SI","result",1.87171679,0.000915625,0x00,0x00
"SPI SO","result",1.87308867,0.000915583333,0x00,0x00
"SPI SI","result",1.87308867,0.000915583333,0x00,0x00
"SPI SO","result",1.87446383,0.000915625,0x00,0x00
"SPI SI","result",1.87446383,0.000915625,0x00,0x00
"SPI SO","result",1.87583571,0.000915625,0x00,0x00
"SPI SI","result",1.87583571,0.000915625,0x00,0x00
"SPI SO","result",1.87721088,0.000915625,0x00,0x00
"SPI SI","result",1.87721088,0.000915625,0x00,0x00
"SPI SO","result",1.87858275,0.000915625,0x00,0x00
"SPI SI","result",1.87858275,0.000915625,0x00,0x00
"SPI SO","result",1.87995792,0.000915625,0x00,0x00
"SPI SI","result",1.87995792,0.000915625,0x00,0x00
"SPI SO","result",1.88139083,0.000915625,0x00,0x00
"SPI SI","result",1.88139083,0.000915625,0x00,0x00
"SPI SO","result",1.882766,0.000915625,0x00,0x00
"SPI SI","result",1.882766,0.000915625,0x00,0x00
"SPI SO","result",1.88419896,0.000915583333,0x00,0x00
"SPI SI","result",1.88419896,0.000915583333,0x00,0x00
"SPI SO","result",1.88557408,0.000915625,0x00,0x00
"SPI SI","result",1.88557408,0.000915625,0x00,0x00
"SPI SO","result",1.886946,0.000915625,0x00,0x00
"SPI SI","result",1.886946,0.000915625,0x00,0x00
"SPI SO","result",1.88832113,0.000915625,0x00,0x00
"SPI SI","result",1.88832113,0.000915625,0x00,0x00
"SPI SO","result",1.88969304,0.000915625,0x00,0x00
"SPI SI","result",1.88969304,0.000915625,0x00,0x00
"SPI SO","result",1.89106817,0.000915625,0x00,0x00
"SPI SI","result",1.89106817,0.000915625,0x00,0x00
"SPI SO","result",1.89244008,0.000915625,0x00,0x00
"SPI SI","result",1.89244008,0.000915625,0x00,0x00
"SPI SO","result",1.89381521,0.000915625,0x00,0x00
"SPI SI","result",1.89381521,0.000915625,0x00,0x00
"SPI SO","result",1.89518713,0.000915625,0x00,0x00
"SPI SI","result",1.89518713,0.000915625,0x00,0x00
"SPI SO","result",1.89656225,0.000915625,0x00,0x00
"SPI SI","result",1.89656225,0.000915625,0x00,0x00
"SPI SO","result",1.89811733,0.000915583333,0x00,0x00
"SPI SI","result",1.89811733,0.000915583333,0x00,0x00
"SPI SO","result",1.89949242,0.000915625,0x00,0x00
"SPI SI","result",1.89949242,0.000915625,0x00,0x00
"SPI SO","result",1.90086438,0.000915625,0x00,0x00
"SPI SI","result",1.90086438,0.000915625,0x00,0x00
"SPI SO","result",1.90223946,0.000915625,0x00,0x00
"SPI SI","result",1.90223946,0.000915625,0x00,0x00
"SPI SO","result",1.90361142,0.000915625,0x00,0x00
"SPI SI","result",1.90361142,0.000915625,0x00,0x00
"SPI SO","result",1.9049865,0.000915625,0x00,0x00
"SPI SI","result",1.9049865,0.000915625,0x01,0x00
"SPI SO","result",1.90635846,0.000915625,0x00,0x00
"SPI SI","result",1.90635846,0.000915625,0x00,0x00
"SPI SO","result",1.90779462,0.000915583333,0x00,0xFF
