name,type,start_time,duration,"mosi","miso"
"SPI SO","result",1.02873383,0.000915625,0x00,0xBD
"SPI SI","result",1.02873383,0.000915625,0x12,0x00
"SPI SO","result",1.03021246,0.000915625,0x00,0xC1
"SPI SI","result",1.03021246,0.000915625,0x5E,0x00
"SPI SO","result",2.05930162,0.000915625,0x00,0x80
"SPI SI","result",2.05930162,0.000915625,0x00,0x00
"SPI SO","result",2.06066117,0.000915583333,0x00,0x40
"SPI SI","result",2.06066117,0.000915583333,0x00,0x00
"SPI SO","result",2.06204867,0.000915625,0x00,0x00
"SPI SI","result",2.06204867,0.000915625,0x00,0x00
"SPI SO","result",2.06346925,0.000915625,0x00,0x00
"SPI SI","result",2.06346925,0.000915625,0x00,0x00
"SPI SO","result",2.06485675,0.000915625,0x00,0x00
"SPI SI","result",2.06485675,0.000915625,0x00,0x00
"SPI SO","result",2.06627733,0.000915625,0x00,0x00
"SPI SI","result",2.06627733,0.000915625,0x00,0x00
"SPI SO","result",2.06766483,0.000915625,0x00,0x00
"SPI SI","result",2.06766483,0.000915625,0x00,0x00
"SPI SO","result",2.06908542,0.000915625,0x00,0x00
"SPI SI","result",2.06908542,0.000915625,0x00,0x00
"SPI SO","result",2.07047292,0.000915625,0x00,0x00
"SPI SI","result",2.07047292,0.000915625,0x00,0x00
"SPI SO","result",2.07189354,0.000915583333,0x00,0x00
"SPI SI","result",2.07189354,0.000915583333,0x00,0x00
"SPI SO","result",2.073281,0.000915625,0x00,0x00
"SPI SI","result",2.073281,0.000915625,0x00,0x00
"SPI SO","result",2.07476267,0.000915625,0x00,0x00
"SPI SI","result",2.07476267,0.000915625,0x00,0x00
"SPI SO","result",2.07615017,0.000915625,0x00,0x00
"SPI SI","result",2.07615017,0.000915625,0x00,0x00
"SPI SO","result",2.07757075,0.000915625,0x00,0x00
"SPI SI","result",2.07757075,0.000915625,0x00,0x00
"SPI SO","result",2.07895825,0.000915625,0x00,0x00
"SPI SI","result",2.07895825,0.000915625,0x00,0x00
"SPI SO","result",2.08037888,0.000915583333,0x00,0x00
"SPI SI","result",2.08037888,0.000915583333,0x00,0x00
"SPI SO","result",2.08176633,0.000915625,0x00,0x00
"SPI SI","result",2.08176633,0.000915625,0x00,0x00
"SPI SO","result",2.08318696,0.000915625,0x00,0x00
"SPI SI","result",2.08318696,0.000915625,0x00,0x00
"SPI SO","result",2.08457442,0.000915625,0x00,0x00
"SPI SI","result",2.08457442,0.000915625,0x00,0x00
"SPI SO","result",2.08599504,0.000915625,0x00,0x00
"SPI SI","result",2.08599504,0.000915625,0x00,0x00
"SPI SO","result",2.0873825,0.000915625,0x00,0x00
"SPI SI","result",2.0873825,0.000915625,0x00,0x00
"SPI SO","result",2.08880317,0.000915583333,0x00,0x00
"SPI SI","result",2.08880317,0.000915583333,0x00,0x00
"SPI SO","result",2.09019058,0.000915625,0x00,0x00
"SPI SI","result",2.09019058,0.000915625,0x00,0x00
"SPI SO","result",2.09161125,0.000915583333,0x00,0x00
"SPI SI","result",2.09161125,0.000915583333,0x00,0x00
"SPI SO","result",2.09299867,0.000915625,0x00,0x00
"SPI SI","result",2.09299867,0.000915625,0x00,0x00
"SPI SO","result",2.09441933,0.000915625,0x00,0x00
"SPI SI","result",2.09441933,0.000915625,0x00,0x00
"SPI SO","result",2.09580675,0.000915625,0x00,0x00
"SPI SI","result",2.09580675,0.000915625,0x00,0x00
"SPI SO","result",2.09722742,0.000915625,0x00,0x00
"SPI SI","result",2.09722742,0.000915625,0x00,0x00
"SPI SO","result",2.09861483,0.000915625,0x00,0x00
"SPI SI","result",2.09861483,0.000915625,0x01,0x00
"SPI SO","result",2.1000355,0.000915625,0x00,0x00
"SPI SI","result",2.1000355,0.000915625,0x00,0x00
"SPI SO","result",2.10142296,0.000915583333,0x00,0xFF
"SPI SI","result",2.10142296,0.000915583333,0xFF,0x00
"SPI SO","result",2.10284363,0.000915625,0x00,0xFF
"SPI SI","result",2.10284363,0.000915625,0xFF,0x00
"SPI SO","result",2.10429204,0.000915666667,0x00,0xE0
"SPI SI","result",2.10429204,0.000915666667,0xC0,0x00
"SPI SO","result",2.10571283,0.000915541667,0x00,0xFF
"SPI SI","result",2.10571283,0.000915541667,0xFF,0x00
"SPI SO","result",2.10716121,0.000915625,0x00,0xC3
"SPI SI","result",2.10716121,0.000915625,0x83,0x00
"SPI SO","result",2.108704,0.000915625,0x00,0xFE
"SPI SI","result",2.108704,0.000915625,0xFC,0x00
"SPI SO","result",2.11015246,0.000915583333,0x00,0xFF
"SPI SI","result",2.11015246,0.000915583333,0xAB,0x00
"SPI SO","result",2.11157313,0.000915625,0x00,0xFE
"SPI SI","result",2.11157313,0.000915625,0xD4,0x00
"SPI SO","result",2.11302158,0.000915583333,0x00,0xFF
"SPI SI","result",2.11302158,0.000915583333,0xFF,0x00
