name,type,start_time,duration,"mosi","miso"
"SPI SO","result",0.629890917,0.000915625,0x00,0x89
"SPI SI","result",0.629890917,0.000915625,0x29,0x00
"SPI SO","result",0.631272708,0.000915625,0x00,0x03
"SPI SI","result",0.631272708,0.000915625,0x5E,0x00
"SPI SO","result",8.181043,0.000915625,0x00,0x80
"SPI SI","result",8.181043,0.000915625,0x00,0x00
"SPI SO","result",8.18239983,0.000915625,0x00,0x00
"SPI SI","result",8.18239983,0.000915625,0x5D,0x00
"SPI SO","result",8.18379,0.000915666667,0x00,0x00
"SPI SI","result",8.18379,0.000915666667,0x00,0x00
"SPI SO","result",8.18520792,0.000915666667,0x00,0x00
"SPI SI","result",8.18520792,0.000915666667,0x01,0x00
"SPI SO","result",8.18659812,0.000915625,0x00,0x00
"SPI SI","result",8.18659812,0.000915625,0x00,0x00
"SPI SO","result",8.18801604,0.000915625,0x00,0xFF
"SPI SI","result",8.18801604,0.000915625,0xFF,0x00
"SPI SO","result",8.18946725,0.000915625,0x00,0xFF
"SPI SI","result",8.18946725,0.000915625,0xFF,0x00
"SPI SO","result",8.19088512,0.000915666667,0x00,0xFF
"SPI SI","result",8.19088512,0.000915666667,0xFF,0x00
"SPI SO","result",8.19233642,0.000915625,0x00,0xFF
"SPI SI","result",8.19233642,0.000915625,0xFF,0x00
"SPI SO","result",8.19375429,0.000915625,0x00,0xFF
"SPI SI","result",8.19375429,0.000915625,0xFF,0x00
"SPI SO","result",8.19520554,0.000915625,0x00,0xFF
"SPI SI","result",8.19520554,0.000915625,0xFF,0x00
"SPI SO","result",8.19662342,0.000915625,0x00,0xFF
"SPI SI","result",8.19662342,0.000915625,0xFF,0x00
"SPI SO","result",8.19807471,0.000915625,0x00,0xFF
"SPI SI","result",8.19807471,0.000915625,0xFF,0x00
"SPI SO","result",8.19949254,0.000915625,0x00,0xFF
"SPI SI","result",8.19949254,0.000915625,0xFF,0x00
"SPI SO","result",8.20094383,0.000915625,0x00,0xFF
"SPI SI","result",8.20094383,0.000915625,0xFF,0x00
"SPI SO","result",8.20236167,0.000915625,0x00,0xFF
"SPI SI","result",8.20236167,0.000915625,0xFF,0x00
"SPI SO","result",8.203813,0.000915583333,0x00,0xFF
"SPI SI","result",8.203813,0.000915583333,0xFF,0x00
"SPI SO","result",8.20523079,0.000915666667,0x00,0xFF
"SPI SI","result",8.20523079,0.000915666667,0xFF,0x00
"SPI SO","result",8.20668213,0.000915625,0x00,0xFF
