name,type,start_time,duration,"mosi","miso"
"SPI SO","result",0.559344,0.000915625,0x00,0x89
"SPI SI","result",0.559344,0.000915625,0x29,0x00
"SPI SO","result",0.560732167,0.000915666667,0x00,0x03
"SPI SI","result",0.560732167,0.000915666667,0x5E,0x00
"SPI SO","result",9.43359563,0.000915625,0x00,0x80
"SPI SI","result",9.43359563,0.000915625,0x00,0x00
"SPI SO","result",9.43495642,0.000915625,0x00,0x00
"SPI SI","result",9.43495642,0.000915625,0x5D,0x00
"SPI SO","result",9.43640371,0.000915625,0x00,0x00
"SPI SI","result",9.43640371,0.000915625,0x00,0x00
"SPI SO","result",9.43782554,0.000915625,0x00,0x00
"SPI SI","result",9.43782554,0.000915625,0x01,0x00
"SPI SO","result",9.43921179,0.000915666667,0x00,0x00
"SPI SI","result",9.43921179,0.000915666667,0x00,0x00
"SPI SO","result",9.44063367,0.000915583333,0x00,0xFF
"SPI SI","result",9.44063367,0.000915583333,0xFF,0x00
"SPI SO","result",9.44208096,0.000915625,0x00,0xFF
"SPI SI","result",9.44208096,0.000915625,0xFF,0x00
"SPI SO","result",9.44350275,0.000915625,0x00,0xFF
"SPI SI","result",9.44350275,0.000915625,0xFF,0x00
"SPI SO","result",9.44495008,0.000915625,0x00,0xC0
"SPI SI","result",9.44495008,0.000915625,0xFF,0x00
"SPI SO","result",9.44637188,0.000915625,0x00,0xEF
"SPI SI","result",9.44637188,0.000915625,0xFF,0x00
"SPI SO","result",9.44781925,0.000915625,0x00,0x40
"SPI SI","result",9.44781925,0.000915625,0xFF,0x00
"SPI SO","result",9.44924104,0.000915625,0x00,0xFF
"SPI SI","result",9.44924104,0.000915625,0xFF,0x00
"SPI SO","result",9.45068838,0.000915625,0x00,0x42
"SPI SI","result",9.45068838,0.000915625,0xFF,0x00
"SPI SO","result",9.45211013,0.000915666667,0x00,0xFC
"SPI SI","result",9.45211013,0.000915666667,0xFF,0x00
"SPI SO","result",9.45355754,0.000915625,0x00,0x43
"SPI SI","result",9.45355754,0.000915625,0xFF,0x00
"SPI SO","result",9.45497929,0.000915625,0x00,0xFF
"SPI SI","result",9.45497929,0.000915625,0xFF,0x00
"SPI SO","result",9.45642667,0.000915625,0x00,0xC7
"SPI SI","result",9.45642667,0.000915625,0xFF,0x00
"SPI SO","result",9.45803154,0.000915625,0x00,0xFE
"SPI SI","result",9.45803154,0.000915625,0xFF,0x00
"SPI SO","result",9.45947896,0.000915625,0x00,0x47
"SPI SI","result",9.45947896,0.000915625,0xFF,0x00
"SPI SO","result",9.46090067,0.000915666667,0x00,0xFF
"SPI SI","result",9.46090067,0.000915666667,0xFF,0x00
"SPI SO","result",9.46234808,0.000915625,0x00,0xEF
"SPI SI","result",9.46234808,0.000915625,0xFF,0x00
"SPI SO","result",9.46376983,0.000915625,0x00,0xFF
"SPI SI","result",9.46376983,0.000915625,0xFF,0x00
"SPI SO","result",9.46521721,0.000915625,0x00,0xFF
"SPI SI","result",9.46521721,0.000915625,0xFF,0x00
"SPI SO","result",9.46663892,0.000915666667,0x00,0x80
"SPI SI","result",9.46663892,0.000915666667,0xFF,0x00
"SPI SO","result",9.46808638,0.000915625,0x00,0x00
"SPI SI","result",9.46808638,0.000915625,0xFF,0x00
"SPI SO","result",9.46950808,0.000915625,0x00,0xC0
"SPI SI","result",9.46950808,0.000915625,0xFF,0x00
"SPI SO","result",9.4709555,0.000915625,0x00,0x00
"SPI SI","result",9.4709555,0.000915625,0xFF,0x00
"SPI SO","result",9.47237721,0.000915625,0x00,0x67
"SPI SI","result",9.47237721,0.000915625,0xFF,0x00
"SPI SO","result",9.47382463,0.000915625,0x00,0xFC
"SPI SI","result",9.47382463,0.000915625,0xFF,0x00
"SPI SO","result",9.47524633,0.000915625,0x00,0x03
"SPI SI","result",9.47524633,0.000915625,0xFF,0x00
"SPI SO","result",9.47669379,0.000915625,0x00,0xFE
"SPI SI","result",9.47669379,0.000915625,0xFF,0x00
"SPI SO","result",9.47811546,0.000915625,0x00,0xE0
"SPI SI","result",9.47811546,0.000915625,0xFF,0x00
"SPI SO","result",9.47956292,0.000915625,0x00,0x03
"SPI SI","result",9.47956292,0.000915625,0xFF,0x00
"SPI SO","result",9.48098458,0.000915666667,0x00,0xF6
"SPI SI","result",9.48098458,0.000915666667,0xFF,0x00
"SPI SO","result",9.48243204,0.000915666667,0x00,0x00
"SPI SI","result",9.48243204,0.000915666667,0xFF,0x00
"SPI SO","result",9.48385371,0.000915666667,0x00,0xBE
"SPI SI","result",9.48385371,0.000915666667,0xFF,0x00
"SPI SO","result",9.48530121,0.000915625,0x00,0x20
"SPI SI","result",9.48530121,0.000915625,0xFF,0x00
"SPI SO","result",9.48672287,0.000915625,0x00,0xFF
"SPI SI","result",9.48672287,0.000915625,0xFF,0x00
"SPI SO","result",9.48817033,0.000915625,0x00,0xFF
"SPI SI","result",9.48817033,0.000915625,0xFF,0x00
"SPI SO","result",9.489592,0.000915625,0x00,0xB7
"SPI SI","result",9.489592,0.000915625,0xFF,0x00
"SPI SO","result",9.4910395,0.000915625,0x00,0x8F
"SPI SI","result",9.4910395,0.000915625,0xFF,0x00
"SPI SO","result",9.49246113,0.000915625,0x00,0xE3
"SPI SI","result",9.49246113,0.000915625,0xFF,0x00
"SPI SO","result",9.49390862,0.000915625,0x00,0x9F
"SPI SI","result",9.49390862,0.000915625,0xFF,0x00
"SPI SO","result",9.49533025,0.000915625,0x00,0x9F
"SPI SI","result",9.49533025,0.000915625,0xFF,0x00
"SPI SO","result",9.49677775,0.000915625,0x00,0xBF
"SPI SI","result",9.49677775,0.000915625,0xFF,0x00
"SPI SO","result",9.49819938,0.000915666667,0x00,0xDF
"SPI SI","result",9.49819938,0.000915666667,0xFF,0x00
"SPI SO","result",9.49964692,0.000915625,0x00,0x3C
"SPI SI","result",9.49964692,0.000915625,0xFF,0x00
"SPI SO","result",9.50106854,0.000915625,0x00,0xDB
"SPI SI","result",9.50106854,0.000915625,0xFF,0x00
"SPI SO","result",9.50251604,0.000915625,0x00,0xBE
"SPI SI","result",9.50251604,0.000915625,0xFF,0x00
"SPI SO","result",9.50393767,0.000915625,0x00,0xC3
"SPI SI","result",9.50393767,0.000915625,0xFF,0x00
"SPI SO","result",9.50538517,0.000915666667,0x00,0xBE
"SPI SI","result",9.50538517,0.000915666667,0xFF,0x00
"SPI SO","result",9.50680679,0.000915625,0x00,0xD8
"SPI SI","result",9.50680679,0.000915625,0xFF,0x00
"SPI SO","result",9.50825433,0.000915625,0x00,0x3E
"SPI SI","result",9.50825433,0.000915625,0xFF,0x00
"SPI SO","result",9.50967592,0.000915625,0x00,0xFF
"SPI SI","result",9.50967592,0.000915625,0xFF,0x00
"SPI SO","result",9.51112346,0.000915625,0x00,0xFF
"SPI SI","result",9.51112346,0.000915625,0xFF,0x00
"SPI SO","result",9.51254504,0.000915625,0x00,0xF9
"SPI SI","result",9.51254504,0.000915625,0xFF,0x00
"SPI SO","result",9.51399263,0.000915625,0x00,0xF0
"SPI SI","result",9.51399263,0.000915625,0xFF,0x00
"SPI SO","result",9.51541417,0.000915666667,0x00,0xD9
"SPI SI","result",9.51541417,0.000915666667,0xFF,0x00
"SPI SO","result",9.51686175,0.000915625,0x00,0xF0
"SPI SI","result",9.51686175,0.000915625,0xFF,0x00
"SPI SO","result",9.51828329,0.000915666667,0x00,0xED
"SPI SI","result",9.51828329,0.000915666667,0xFF,0x00
"SPI SO","result",9.51973088,0.000915625,0x00,0xF8
"SPI SI","result",9.51973088,0.000915625,0xFF,0x00
"SPI SO","result",9.52115246,0.000915625,0x00,0xCD
"SPI SI","result",9.52115246,0.000915625,0xFF,0x00
"SPI SO","result",9.52260004,0.000915625,0x00,0xB8
"SPI SI","result",9.52260004,0.000915625,0xFF,0x00
"SPI SO","result",9.52402154,0.000915666667,0x00,0xED
"SPI SI","result",9.52402154,0.000915666667,0xFF,0x00
"SPI SO","result",9.52546917,0.000915625,0x00,0x8A
"SPI SI","result",9.52546917,0.000915625,0xFF,0x00
"SPI SO","result",9.52689071,0.000915625,0x00,0xDF
"SPI SI","result",9.52689071,0.000915625,0xFF,0x00
"SPI SO","result",9.52833829,0.000915666667,0x00,0x80
"SPI SI","result",9.52833829,0.000915666667,0xFF,0x00
"SPI SO","result",9.52975983,0.000915625,0x00,0xFF
"SPI SI","result",9.52975983,0.000915625,0xFF,0x00
"SPI SO","result",9.53120746,0.000915625,0x00,0xA0
"SPI SI","result",9.53120746,0.000915625,0xFF,0x00
"SPI SO","result",9.53262896,0.000915666667,0x00,0xFF
"SPI SI","result",9.53262896,0.000915666667,0xFF,0x00
"SPI SO","result",9.53407658,0.000915625,0x00,0xCF
