name,type,start_time,duration,"mosi","miso"
"SPI SO","result",0.367670875,0.000915625,0x00,0x3D
"SPI SI","result",0.367670875,0.000915625,0x12,0x00
"SPI SO","result",0.369041667,0.000915625,0x00,0x82
"SPI SI","result",0.369041667,0.000915625,0x1D,0x00
"SPI SO","result",6.59613237,0.000915625,0x00,0x00
"SPI SI","result",6.59613237,0.000915625,0x00,0x00
"SPI SO","result",6.59750946,0.000915583333,0x00,0x61
"SPI SI","result",6.59750946,0.000915583333,0x00,0x00
"SPI SO","result",6.59894046,0.000915666667,0x00,0x80
"SPI SI","result",6.59894046,0.000915666667,0x00,0x00
"SPI SO","result",6.60031754,0.000915625,0x00,0x00
"SPI SI","result",6.60031754,0.000915625,0x00,0x00
"SPI SO","result",6.6016875,0.000915666667,0x00,0x80
"SPI SI","result",6.6016875,0.000915666667,0x01,0x00
"SPI SO","result",6.60312562,0.000915625,0x00,0x7F
"SPI SI","result",6.60312562,0.000915625,0xFF,0x00
"SPI SO","result",6.60455667,0.000915625,0x00,0xFF
"SPI SI","result",6.60455667,0.000915625,0xFF,0x00
"SPI SO","result",6.60599475,0.000915625,0x00,0xFF
"SPI SI","result",6.60599475,0.000915625,0xFF,0x00
"SPI SO","result",6.60742579,0.000915625,0x00,0xFF
"SPI SI","result",6.60742579,0.000915625,0x80,0x00
"SPI SO","result",6.60886392,0.000915583333,0x00,0xFF
"SPI SI","result",6.60886392,0.000915583333,0xCE,0x00
"SPI SO","result",6.61029496,0.000915583333,0x00,0xFF
"SPI SI","result",6.61029496,0.000915583333,0x80,0x00
"SPI SO","result",6.61173304,0.000915625,0x00,0xFF
"SPI SI","result",6.61173304,0.000915625,0xFA,0x00
"SPI SO","result",6.61316408,0.000915583333,0x00,0xFF
"SPI SI","result",6.61316408,0.000915583333,0x85,0x00
"SPI SO","result",6.61460217,0.000915625,0x00,0xFF
"SPI SI","result",6.61460217,0.000915625,0xB8,0x00
"SPI SO","result",6.61603321,0.000915625,0x00,0xFF
"SPI SI","result",6.61603321,0.000915625,0x87,0x00
"SPI SO","result",6.61747129,0.000915625,0x00,0xFF
"SPI SI","result",6.61747129,0.000915625,0xF5,0x00
"SPI SO","result",6.61890233,0.000915625,0x00,0xFF
"SPI SI","result",6.61890233,0.000915625,0x8F,0x00
"SPI SO","result",6.62034046,0.000915583333,0x00,0xFF
