name,type,start_time,duration,"mosi","miso"
"SPI SO","result",3.40748908,0.000915625,0x00,0x00
"SPI SI","result",3.40748908,0.000915625,0xFE,0x00
"SPI SO","result",3.41096867,0.000915625,0x00,0x70
"SPI SI","result",3.41096867,0.000915625,0xFE,0x00
"SPI SO","result",3.42763404,0.000915625,0x00,0x70
"SPI SI","result",3.42763404,0.000915625,0xFE,0x00
"SPI SO","result",3.4443605,0.000915625,0x00,0x70
"SPI SI","result",3.4443605,0.000915625,0xFE,0x00
"SPI SO","result",3.46114796,0.000915625,0x00,0x70
"SPI SI","result",3.46114796,0.000915625,0xFE,0x00
"SPI SO","result",3.47787437,0.000915625,0x00,0x70
"SPI SI","result",3.47787437,0.000915625,0xFE,0x00
"SPI SO","result",3.49460079,0.000915625,0x00,0x70
"SPI SI","result",3.49460079,0.000915625,0xFE,0x00
"SPI SO","result",3.51383008,0.000915625,0x00,0x70
"SPI SI","result",3.51383008,0.000915625,0xFE,0x00
"SPI SO","result",3.52811471,0.000915625,0x00,0x70
"SPI SI","result",3.52811471,0.000915625,0xFE,0x00
"SPI SO","result",3.54484113,0.000915625,0x00,0x70
"SPI SI","result",3.54484113,0.000915625,0xFE,0x00
"SPI SO","result",3.56162862,0.000915625,0x00,0x70
"SPI SI","result",3.56162862,0.000915625,0xFE,0x00
"SPI SO","result",3.57835504,0.000915625,0x00,0x70
"SPI SI","result",3.57835504,0.000915625,0xFE,0x00
"SPI SO","result",3.59508146,0.000915625,0x00,0x70
"SPI SI","result",3.59508146,0.000915625,0xFE,0x00
"SPI SO","result",3.61180787,0.000915625,0x00,0x70
"SPI SI","result",3.61180787,0.000915625,0xFE,0x00
"SPI SO","result",3.62859538,0.000915625,0x00,0x70
"SPI SI","result",3.62859538,0.000915625,0xFE,0x00
"SPI SO","result",3.64532179,0.000915625,0x00,0x70
"SPI SI","result",3.64532179,0.000915625,0xFE,0x00
"SPI SO","result",3.66204821,0.000915625,0x00,0x70
"SPI SI","result",3.66204821,0.000915625,0xFE,0x00
"SPI SO","result",3.67883571,0.000915625,0x00,0x70
"SPI SI","result",3.67883571,0.000915625,0xFE,0x00
"SPI SO","result",3.69556212,0.000915625,0x00,0x70
"SPI SI","result",3.69556212,0.000915625,0xFE,0x00
"SPI SO","result",3.71228854,0.000915625,0x00,0x70
"SPI SI","result",3.71228854,0.000915625,0xFE,0x00
"SPI SO","result",3.72999171,0.000915625,0x00,0x70
"SPI SI","result",3.72999171,0.000915625,0xFE,0x00
"SPI SO","result",3.74580246,0.000915625,0x00,0x70
"SPI SI","result",3.74580246,0.000915625,0xFE,0x00
"SPI SO","result",3.76252888,0.000915625,0x00,0x70
"SPI SI","result",3.76252888,0.000915625,0xFE,0x00
"SPI SO","result",3.77931633,0.000915625,0x00,0x70
"SPI SI","result",3.77931633,0.000915625,0xFE,0x00
"SPI SO","result",3.79604279,0.000915625,0x00,0x70
"SPI SI","result",3.79604279,0.000915625,0xFE,0x00
"SPI SO","result",3.81276921,0.000915625,0x00,0x70
"SPI SI","result",3.81276921,0.000915625,0xFE,0x00
"SPI SO","result",3.82955667,0.000915625,0x00,0x70
"SPI SI","result",3.82955667,0.000915625,0xFE,0x00
"SPI SO","result",3.84628308,0.000915625,0x00,0x70
"SPI SI","result",3.84628308,0.000915625,0xFE,0x00
"SPI SO","result",3.86300954,0.000915625,0x00,0x70
"SPI SI","result",3.86300954,0.000915625,0xFE,0x00
"SPI SO","result",3.87973596,0.000915625,0x00,0x70
"SPI SI","result",3.87973596,0.000915625,0xFE,0x00
"SPI SO","result",3.89652342,0.000915625,0x00,0x70
"SPI SI","result",3.89652342,0.000915625,0xFE,0x00
"SPI SO","result",3.91324983,0.000915625,0x00,0x70
"SPI SI","result",3.91324983,0.000915625,0xFE,0x00
"SPI SO","result",3.92997629,0.000915625,0x00,0x70
"SPI SI","result",3.92997629,0.000915625,0xFE,0x00
"SPI SO","result",3.94676375,0.000915625,0x00,0x70
"SPI SI","result",3.94676375,0.000915625,0xFE,0x00
"SPI SO","result",3.965932,0.000915625,0x00,0x70
"SPI SI","result",3.965932,0.000915625,0xFE,0x00
"SPI SO","result",3.98021663,0.000915625,0x00,0x70
"SPI SI","result",3.98021663,0.000915625,0xFE,0x00
"SPI SO","result",3.99700408,0.000915625,0x00,0x70
"SPI SI","result",3.99700408,0.000915625,0xFE,0x00
"SPI SO","result",4.0137305,0.000915625,0x00,0x70
"SPI SI","result",4.0137305,0.000915625,0xFE,0x00
"SPI SO","result",4.03045692,0.000915625,0x00,0x70
"SPI SI","result",4.03045692,0.000915625,0xFE,0x00
"SPI SO","result",4.04724442,0.000915625,0x00,0x70
"SPI SI","result",4.04724442,0.000915625,0xFE,0x00
"SPI SO","result",4.06397083,0.000915625,0x00,0x70
"SPI SI","result",4.06397083,0.000915625,0xFE,0x00
"SPI SO","result",4.08069725,0.000915625,0x00,0x70
"SPI SI","result",4.08069725,0.000915625,0xFE,0x00
"SPI SO","result",4.09742371,0.000915625,0x00,0x70
"SPI SI","result",4.09742371,0.000915625,0xFE,0x00
"SPI SO","result",4.11421117,0.000915625,0x00,0x70
"SPI SI","result",4.11421117,0.000915625,0xFE,0x00
"SPI SO","result",4.13093758,0.000915625,0x00,0x70
"SPI SI","result",4.13093758,0.000915625,0xFE,0x00
"SPI SO","result",4.147664,0.000915625,0x00,0x70
"SPI SI","result",4.147664,0.000915625,0xFE,0x00
"SPI SO","result",4.1644515,0.000915625,0x00,0x70
"SPI SI","result",4.1644515,0.000915625,0xFE,0x00
"SPI SO","result",4.18209358,0.000915625,0x00,0x70
"SPI SI","result",4.18209358,0.000915625,0xFE,0x00
"SPI SO","result",4.19790433,0.000915625,0x00,0x70
"SPI SI","result",4.19790433,0.000915625,0xFE,0x00
"SPI SO","result",4.21469183,0.000915625,0x00,0x70
"SPI SI","result",4.21469183,0.000915625,0xFE,0x00
"SPI SO","result",4.23141825,0.000915625,0x00,0x70
"SPI SI","result",4.23141825,0.000915625,0xFE,0x00
"SPI SO","result",4.24814467,0.000915625,0x00,0x70
"SPI SI","result",4.24814467,0.000915625,0xFE,0x00
"SPI SO","result",4.26493212,0.000915625,0x00,0x70
"SPI SI","result",4.26493212,0.000915625,0xFE,0x00
"SPI SO","result",4.28165858,0.000915625,0x00,0x70
"SPI SI","result",4.28165858,0.000915625,0xFE,0x00
"SPI SO","result",4.298385,0.000915625,0x00,0x70
"SPI SI","result",4.298385,0.000915625,0xFE,0x00
"SPI SO","result",4.31517246,0.000915625,0x00,0x70
"SPI SI","result",4.31517246,0.000915625,0xFE,0x00
"SPI SO","result",4.33189888,0.000915666667,0x00,0x70
"SPI SI","result",4.33189888,0.000915666667,0xFE,0x00
"SPI SO","result",4.34862533,0.000915625,0x00,0x70
"SPI SI","result",4.34862533,0.000915625,0xFE,0x00
"SPI SO","result",4.36541279,0.000915625,0x00,0x70
"SPI SI","result",4.36541279,0.000915625,0xFE,0x00
"SPI SO","result",4.38213921,0.000915625,0x00,0x70
"SPI SI","result",4.38213921,0.000915625,0xFE,0x00
"SPI SO","result",4.39886567,0.000915625,0x00,0x70
"SPI SI","result",4.39886567,0.000915625,0xFE,0x00
"SPI SO","result",4.41803387,0.000915625,0x00,0x70
"SPI SI","result",4.41803387,0.000915625,0xFE,0x00
"SPI SO","result",4.43237954,0.000915625,0x00,0x70
"SPI SI","result",4.43237954,0.000915625,0xFE,0x00
"SPI SO","result",4.44910596,0.000915625,0x00,0x70
"SPI SI","result",4.44910596,0.000915625,0xFE,0x00
"SPI SO","result",4.46583242,0.000915625,0x00,0x70
"SPI SI","result",4.46583242,0.000915625,0xFE,0x00
"SPI SO","result",4.48261988,0.000915625,0x00,0x70
"SPI SI","result",4.48261988,0.000915625,0xFE,0x00
"SPI SO","result",4.49934629,0.000915625,0x00,0x70
"SPI SI","result",4.49934629,0.000915625,0xFE,0x00
"SPI SO","result",4.51607275,0.000915625,0x00,0x70
"SPI SI","result",4.51607275,0.000915625,0xFE,0x00
"SPI SO","result",4.53286021,0.000915625,0x00,0x70
"SPI SI","result",4.53286021,0.000915625,0xFE,0x00
"SPI SO","result",4.54958662,0.000915625,0x00,0x70
"SPI SI","result",4.54958662,0.000915625,0xFE,0x00
"SPI SO","result",4.56631304,0.000915625,0x00,0x70
"SPI SI","result",4.56631304,0.000915625,0xFE,0x00
"SPI SO","result",4.58310054,0.000915625,0x00,0x70
"SPI SI","result",4.58310054,0.000915625,0xFE,0x00
"SPI SO","result",4.59982696,0.000915625,0x00,0x70
"SPI SI","result",4.59982696,0.000915625,0xFE,0x00
"SPI SO","result",4.61655337,0.000915625,0x00,0x70
"SPI SI","result",4.61655337,0.000915625,0xFE,0x00
"SPI SO","result",4.63578267,0.000915625,0x00,0x70
"SPI SI","result",4.63578267,0.000915625,0xFE,0x00
"SPI SO","result",4.65006729,0.000915625,0x00,0x70
"SPI SI","result",4.65006729,0.000915625,0xFE,0x00
"SPI SO","result",4.66679371,0.000915625,0x00,0x70
"SPI SI","result",4.66679371,0.000915625,0xFE,0x00
"SPI SO","result",4.68352013,0.000915625,0x00,0x70
"SPI SI","result",4.68352013,0.000915625,0xFE,0x00
"SPI SO","result",4.70030762,0.000915625,0x00,0x70
"SPI SI","result",4.70030762,0.000915625,0xFE,0x00
"SPI SO","result",4.71703404,0.000915625,0x00,0x70
"SPI SI","result",4.71703404,0.000915625,0xFE,0x00
"SPI SO","result",4.73376046,0.000915625,0x00,0x70
"SPI SI","result",4.73376046,0.000915625,0xFE,0x00
"SPI SO","result",4.75054792,0.000915666667,0x00,0x70
"SPI SI","result",4.75054792,0.000915666667,0xFE,0x00
"SPI SO","result",4.76727438,0.000915625,0x00,0x70
"SPI SI","result",4.76727438,0.000915625,0xFE,0x00
"SPI SO","result",4.78400079,0.000915625,0x00,0x70
"SPI SI","result",4.78400079,0.000915625,0xFE,0x00
"SPI SO","result",4.80078825,0.000915625,0x00,0x70
"SPI SI","result",4.80078825,0.000915625,0xFE,0x00
"SPI SO","result",4.81751471,0.000915625,0x00,0x70
