name,type,start_time,duration,"mosi","miso"
"SPI SO","result",1.17543304,0.000915625,0x00,0x01
"SPI SI","result",1.17543304,0.000915625,0x02,0x00
"SPI SO","result",1.19191525,0.000915666667,0x00,0x80
"SPI SI","result",1.19191525,0.000915666667,0x02,0x00
"SPI SO","result",1.20864175,0.000915583333,0x00,0x00
"SPI SI","result",1.20864175,0.000915583333,0xFE,0x00
"SPI SO","result",5.79699558,0.000915625,0x00,0x00
"SPI SI","result",5.79699558,0.000915625,0x02,0x00
"SPI SO","result",5.813722,0.000915625,0x00,0x70
"SPI SI","result",5.813722,0.000915625,0x02,0x00
"SPI SO","result",5.83044846,0.000915625,0x00,0x70
"SPI SI","result",5.83044846,0.000915625,0xFE,0x00
"SPI SO","result",5.84723592,0.000915625,0x00,0x70
"SPI SI","result",5.84723592,0.000915625,0x02,0x00
"SPI SO","result",5.86402342,0.000915625,0x00,0x70
"SPI SI","result",5.86402342,0.000915625,0xFE,0x00
"SPI SO","result",5.88074983,0.000915625,0x00,0x70
"SPI SI","result",5.88074983,0.000915625,0x02,0x00
"SPI SO","result",5.89759838,0.000915625,0x00,0x70
"SPI SI","result",5.89759838,0.000915625,0xFE,0x00
"SPI SO","result",5.91591196,0.000915625,0x00,0x70
"SPI SI","result",5.91591196,0.000915625,0x02,0x00
"SPI SO","result",5.93099021,0.000915583333,0x00,0x70
"SPI SI","result",5.93099021,0.000915583333,0xFE,0x00
"SPI SO","result",5.94777767,0.000915625,0x00,0x70
"SPI SI","result",5.94777767,0.000915625,0x02,0x00
"SPI SO","result",5.96444308,0.000915583333,0x00,0x70
"SPI SI","result",5.96444308,0.000915583333,0xFE,0x00
"SPI SO","result",5.9812305,0.000915666667,0x00,0x70
"SPI SI","result",5.9812305,0.000915666667,0x02,0x00
"SPI SO","result",5.99795696,0.000915625,0x00,0x70
"SPI SI","result",5.99795696,0.000915625,0xFE,0x00
"SPI SO","result",6.01468337,0.000915666667,0x00,0x70
"SPI SI","result",6.01468337,0.000915666667,0x02,0x00
"SPI SO","result",6.03147088,0.000915625,0x00,0x70
"SPI SI","result",6.03147088,0.000915625,0xFE,0x00
"SPI SO","result",6.04825833,0.000915666667,0x00,0x70
"SPI SI","result",6.04825833,0.000915666667,0x02,0x00
"SPI SO","result",6.06492375,0.000915625,0x00,0x70
"SPI SI","result",6.06492375,0.000915625,0xFE,0x00
"SPI SO","result",6.08171121,0.000915625,0x00,0x70
"SPI SI","result",6.08171121,0.000915625,0x02,0x00
"SPI SO","result",6.09843767,0.000915625,0x00,0x70
"SPI SI","result",6.09843767,0.000915625,0xFE,0x00
"SPI SO","result",6.11522513,0.000915625,0x00,0x70
"SPI SI","result",6.11522513,0.000915625,0x02,0x00
"SPI SO","result",6.13292829,0.000915625,0x00,0x70
"SPI SI","result",6.13292829,0.000915625,0xFE,0x00
"SPI SO","result",6.14873904,0.000915625,0x00,0x70
"SPI SI","result",6.14873904,0.000915625,0x02,0x00
"SPI SO","result",6.1654655,0.000915625,0x00,0x70
"SPI SI","result",6.1654655,0.000915625,0xFE,0x00
"SPI SO","result",6.18225296,0.000915625,0x00,0x70
"SPI SI","result",6.18225296,0.000915625,0x02,0x00
"SPI SO","result",6.19891837,0.000915583333,0x00,0x70
"SPI SI","result",6.19891837,0.000915583333,0xFE,0x00
"SPI SO","result",6.21570583,0.000915625,0x00,0x70
"SPI SI","result",6.21570583,0.000915625,0x02,0x00
"SPI SO","result",6.23249333,0.000915583333,0x00,0x70
"SPI SI","result",6.23249333,0.000915583333,0xFE,0x00
"SPI SO","result",6.24921975,0.000915625,0x00,0x70
"SPI SI","result",6.24921975,0.000915625,0x02,0x00
"SPI SO","result",6.26588512,0.000915625,0x00,0x70
"SPI SI","result",6.26588512,0.000915625,0xFE,0x00
"SPI SO","result",6.28273362,0.000915666667,0x00,0x70
"SPI SI","result",6.28273362,0.000915666667,0x02,0x00
"SPI SO","result",6.29939904,0.000915625,0x00,0x70
"SPI SI","result",6.29939904,0.000915625,0xFE,0x00
"SPI SO","result",6.31612546,0.000915625,0x00,0x70
"SPI SI","result",6.31612546,0.000915625,0x02,0x00
"SPI SO","result",6.332974,0.000915625,0x00,0x70
"SPI SI","result",6.332974,0.000915625,0xFE,0x00
"SPI SO","result",6.34970042,0.000915625,0x00,0x70
"SPI SI","result",6.34970042,0.000915625,0x02,0x00
"SPI SO","result",6.36874662,0.000915583333,0x00,0x70
"SPI SI","result",6.36874662,0.000915583333,0xFE,0x00
"SPI SO","result",6.38309225,0.000915625,0x00,0x70
"SPI SI","result",6.38309225,0.000915625,0x02,0x00
"SPI SO","result",6.39981871,0.000915625,0x00,0x70
"SPI SI","result",6.39981871,0.000915625,0xFE,0x00
"SPI SO","result",6.41660617,0.000915625,0x00,0x70
"SPI SI","result",6.41660617,0.000915625,0x02,0x00
